profile_id,instrument,longitude,latitude,time,depth,variable,value,qc,adjusted,error,data_mode,synthetic
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,10,temperature,28.41418,1,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,25,temperature,27.79191,1,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,50,temperature,26.51333,1,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,75,temperature,25.15242,2,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,100,temperature,23.72193,1,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,150,temperature,21.22714,1,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,200,temperature,19.0732,1,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,300,temperature,15.86349,4,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,400,temperature,13.60447,1,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,500,temperature,12.03032,1,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,650,temperature,10.35369,1,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,800,temperature,9.20553,1,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,950,temperature,8.31061,1,True,0.01,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,10,salinity,34.2752,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,25,salinity,34.47947,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,50,salinity,34.72687,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,75,salinity,34.86829,2,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,100,salinity,34.93632,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,150,salinity,35.02463,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,200,salinity,35.0608,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,300,salinity,35.11473,4,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,400,salinity,35.1606,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,500,salinity,35.21771,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,650,salinity,35.27062,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,800,salinity,35.29739,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,950,salinity,35.28675,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,10,chlorophyll,0.44947,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,25,chlorophyll,0.75507,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,50,chlorophyll,1.08057,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,75,chlorophyll,1.11854,2,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,100,chlorophyll,0.80195,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,150,chlorophyll,0.16079,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,200,chlorophyll,0.00417,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,300,chlorophyll,-0.0086,4,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,400,chlorophyll,0.0195,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,500,chlorophyll,0.07135,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,650,chlorophyll,0.12256,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,800,chlorophyll,0.14905,1,True,0.02,D (simulated),True
DEMO-ARGO-01,Argo,85.2,14.8,2025-09-03T12:00:00Z,950,chlorophyll,0.13837,1,True,0.02,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,10,temperature,29.17672,1,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,25,temperature,28.17588,1,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,50,temperature,26.35652,1,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,75,temperature,24.56074,2,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,100,temperature,22.88783,1,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,150,temperature,20.21952,1,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,200,temperature,18.10301,1,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,300,temperature,14.92701,4,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,400,temperature,12.75258,1,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,500,temperature,11.17191,1,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,650,temperature,9.42523,1,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,800,temperature,8.16482,1,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,950,temperature,7.20673,1,True,0.01,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,10,salinity,34.00724,1,True,0.02,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,25,salinity,34.2171,1,True,0.02,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,50,salinity,34.47694,1,True,0.02,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,75,salinity,34.62211,2,True,0.02,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,100,salinity,34.7127,1,True,0.02,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,150,salinity,34.86892,1,True,0.02,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,200,salinity,34.97727,1,True,0.02,D (simulated),True
DEMO-ARGO-02,Argo,88.6,17.4,2025-09-03T12:00:00Z,300,salinity,35.09939,4,True,0.02,D (simulated),True
