# ocean3d:adcp-earth-v1
profile_id,instrument,longitude,latitude,time,depth,variable,value,unit,qc,synthetic
TRAINING-ADCP,ADCP,85,14,2025-09-03T00:00:00Z,20,u,18.0,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T00:00:00Z,20,v,-10,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T00:00:00Z,50,u,15.0,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T00:00:00Z,50,v,-10,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T00:00:00Z,100,u,10.0,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T00:00:00Z,100,v,-10,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T06:00:00Z,20,u,13.0,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T06:00:00Z,20,v,-7,cm/s,4,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T06:00:00Z,50,u,10.0,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T06:00:00Z,50,v,-7,cm/s,4,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T06:00:00Z,100,u,5.0,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T06:00:00Z,100,v,-7,cm/s,4,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T12:00:00Z,20,u,8.0,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T12:00:00Z,20,v,-4,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T12:00:00Z,50,u,5.0,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T12:00:00Z,50,v,-4,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T12:00:00Z,100,u,0.0,cm/s,1,true
TRAINING-ADCP,ADCP,85,14,2025-09-03T12:00:00Z,100,v,-4,cm/s,1,true
